epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-07,16384,1,seq,0,9.62575,0.896112,62.7117,4.41244,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,1,seq,mean,9.62575,0.896112,62.7117,4.41244,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,1,par,0,9.62575,0.896112,62.7093,4.45126,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,1,par,mean,9.62575,0.896112,62.7093,4.45126,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,4096,1,seq,0,5.54767,0.819744,4.45588,0.483611,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,4096,1,seq,mean,5.54767,0.819744,4.45588,0.483611,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,4096,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,4096,1,par,0,5.54767,0.819744,4.46574,0.491004,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,4096,1,par,mean,5.54767,0.819744,4.46574,0.491004,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,4096,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,seq,0,9.63278,0.896188,10.461,1.10577,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,seq,mean,9.63278,0.896188,10.461,1.10577,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,par,0,9.63278,0.896188,10.4596,1.10882,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,par,mean,9.63278,0.896188,10.4596,1.10882,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,seq,0,16.8841,0.940773,25.4827,2.54129,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,seq,mean,16.8841,0.940773,25.4827,2.54129,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,seq,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,par,0,16.8841,0.940773,25.4996,2.57766,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,par,mean,16.8841,0.940773,25.4996,2.57766,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,16384,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
