epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-07,524288,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,16,par,0,257.844,0.996122,14.8643,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,16,par,mean,257.844,0.996122,14.8643,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,omp_task,0,257.844,0.996122,41.3512,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,omp_task,mean,257.844,0.996122,41.3512,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,1,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,omp_task,0,257.844,0.996122,23.5723,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,omp_task,mean,257.844,0.996122,23.5723,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,2,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,omp_task,0,257.844,0.996122,20.7371,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,omp_task,mean,257.844,0.996122,20.7371,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,4,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,8,omp_task,0,257.844,0.996122,20.4605,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,8,omp_task,mean,257.844,0.996122,20.4605,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,8,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,16,omp_task,0,257.844,0.996122,19.5601,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,16,omp_task,mean,257.844,0.996122,19.5601,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
1e-07,524288,16,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,0,275.199,0.996366,13.8756,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,mean,275.199,0.996366,13.8756,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,par,0,275.199,0.996366,7.78269,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,par,mean,275.199,0.996366,7.78269,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,par,0,275.199,0.996366,5.05762,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,par,mean,275.199,0.996366,5.05762,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,par,0,275.199,0.996366,4.37707,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,par,mean,275.199,0.996366,4.37707,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,par,0,275.199,0.996366,3.90478,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,par,mean,275.199,0.996366,3.90478,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,omp_task,0,275.199,0.996366,13.5646,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,omp_task,mean,275.199,0.996366,13.5646,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,1,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,omp_task,0,275.199,0.996366,7.55867,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,omp_task,mean,275.199,0.996366,7.55867,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,2,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,omp_task,0,275.199,0.996366,6.56248,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,omp_task,mean,275.199,0.996366,6.56248,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,4,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,omp_task,0,275.199,0.996366,6.50756,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,omp_task,mean,275.199,0.996366,6.50756,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,8,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,omp_task,0,275.199,0.996366,6.37198,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,omp_task,mean,275.199,0.996366,6.37198,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,262144,16,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,0,501.513,0.998006,29.176,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,mean,501.513,0.998006,29.176,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,par,0,501.513,0.998006,16.4086,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,par,mean,501.513,0.998006,16.4086,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,par,0,501.513,0.998006,10.7786,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,par,mean,501.513,0.998006,10.7786,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,par,0,501.513,0.998006,9.50772,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,par,mean,501.513,0.998006,9.50772,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,16,par,0,501.513,0.998006,8.4488,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,16,par,mean,501.513,0.998006,8.4488,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,omp_task,0,501.513,0.998006,28.8381,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,omp_task,mean,501.513,0.998006,28.8381,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,1,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,omp_task,0,501.513,0.998006,15.9845,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,omp_task,mean,501.513,0.998006,15.9845,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,2,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,omp_task,0,501.513,0.998006,14.057,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,omp_task,mean,501.513,0.998006,14.057,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,4,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,omp_task,0,501.513,0.998006,13.929,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,omp_task,mean,501.513,0.998006,13.929,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,8,omp_task,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,16,omp_task,0,501.513,0.998006,13.5307,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
0.0001,524288,16,omp_task,mean,501.513,0.998006,13.5307,PCARegularN,sympartialACA,S,Laplace,cpu_amd_irene,c348f93
