epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,factorization_time,solve_time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,16384,8,par,0,6.53471,0.846971,33.4055,6.45335,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,8,par,mean,6.53471,0.846971,33.4055,6.45335,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,16,par,0,6.53471,0.846971,32.9407,6.56753,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,16,par,mean,6.53471,0.846971,32.9407,6.56753,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,16384,16,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,par,0,5.6185,0.822017,25.9981,1.86955,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,par,mean,5.6185,0.822017,25.9981,1.86955,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,1,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,2,par,0,5.6185,0.822017,14.3611,1.8808,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,2,par,mean,5.6185,0.822017,14.3611,1.8808,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,2,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,4,par,0,5.6185,0.822017,9.14091,1.90324,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,4,par,mean,5.6185,0.822017,9.14091,1.90324,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,4,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,8,par,0,5.6185,0.822017,7.11622,1.8947,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,8,par,mean,5.6185,0.822017,7.11622,1.8947,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,8192,8,par,std_dev,nan,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
