epsilon,size,number_of_threads,policy_type,id_rep,compression_ratio,space_saving,time,clustering_type,low_rank_generator_type,symmetry_type,generator_type,hardware_type,version
1e-10,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,0,113.58,0.991196,130.248,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,mean,113.58,0.991196,130.248,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,2,par,0,113.58,0.991196,71.6576,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,2,par,mean,113.58,0.991196,71.6576,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,4,par,0,113.58,0.991196,47.8036,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,4,par,mean,113.58,0.991196,47.8036,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,8,par,0,113.58,0.991196,40.6704,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,8,par,mean,113.58,0.991196,40.6704,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,16,par,0,113.58,0.991196,29.4991,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,16,par,mean,113.58,0.991196,29.4991,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-10,524288,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,0,85.3574,0.988285,28.4466,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,mean,85.3574,0.988285,28.4466,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,2,par,0,85.3574,0.988285,14.4187,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,2,par,mean,85.3574,0.988285,14.4187,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,4,par,0,85.3574,0.988285,9.48512,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,4,par,mean,85.3574,0.988285,9.48512,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,8,par,0,85.3574,0.988285,6.72134,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,8,par,mean,85.3574,0.988285,6.72134,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,16,par,0,85.3574,0.988285,5.81132,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,16,par,mean,85.3574,0.988285,5.81132,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,262144,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,0,157.386,0.993646,67.7438,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,mean,157.386,0.993646,67.7438,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,2,par,0,157.386,0.993646,35.8848,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,2,par,mean,157.386,0.993646,35.8848,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,2,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,4,par,0,157.386,0.993646,22.1281,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,4,par,mean,157.386,0.993646,22.1281,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,4,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,8,par,0,157.386,0.993646,17.0486,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,8,par,mean,157.386,0.993646,17.0486,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,8,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,16,par,0,157.386,0.993646,11.8076,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,16,par,mean,157.386,0.993646,11.8076,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
1e-07,524288,16,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,1,par,0,120.478,0.9917,15.4771,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,1,par,mean,120.478,0.9917,15.4771,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,1,par,stddev,nan,nan,nan,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,2,par,0,120.478,0.9917,7.75432,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
0.0001,262144,2,par,mean,120.478,0.9917,7.75432,PCARegularN,sympartialACA,S,Helmholtz,cpu_amd_irene,c348f93
